price,vendor_price,vendor_cost,sku,vendor_sku,qty,stock_qty,name,udropship_vendor,weight,categoryname,image,small_image,thumbnail,manufacturer,status,tax_class_id,visibility,short_description,description
206885,206885,179900,217075,217075,5,5,"ESCRITORIO "DALINO MEDIANO" WENGE",5,100,"Escritorios",http://www.mueblessur.cl/7099-2100-thickbox/escritoriodalinomedianocubiertawenge.jpg,http://www.mueblessur.cl/7099-2100-thickbox/escritoriodalinomedianocubiertawenge.jpg,http://www.mueblessur.cl/7099-2100-thickbox/escritoriodalinomedianocubiertawenge.jpg,,1,IVA,4,"Estructura de metal cromado, cubierta wenge.<br><br>Medidas: 80 x 46 x alt. 75 cms.<br><br>Disponible solo en Outlet.","Estructura de metal cromado, cubierta wenge.<br><br>Medidas: 80 x 46 x alt. 75 cms.<br><br>Disponible solo en Outlet."
95880,95880,79900,218074,218074,5,5,"ESCRITORIO "DIRECTOR L" NEGRO",5,100,"Escritorios",http://www.mueblessur.cl/7276-2101-thickbox/escritoriodirectorlcubiertavidrioestructnegr.jpg,http://www.mueblessur.cl/7276-2101-thickbox/escritoriodirectorlcubiertavidrioestructnegr.jpg,http://www.mueblessur.cl/7276-2101-thickbox/escritoriodirectorlcubiertavidrioestructnegr.jpg,,1,IVA,4,"Marco de metal pintado en color <br>negro mate,cubierta vidrio templado.<br><br>Medidas: 140 x prof. 140 x alt. 73 cms.","Marco de metal pintado en color <br>negro mate,cubierta vidrio templado.<br><br>Medidas: 140 x prof. 140 x alt. 73 cms."
57375,57375,45900,218075,218075,5,5,"ESCRITORIO "MEMPHIS" BLANCO",5,100,"Escritorios",http://www.mueblessur.cl/7275-2078-thickbox/escritoriomemphisxxcmblanco.jpg,http://www.mueblessur.cl/7275-2078-thickbox/escritoriomemphisxxcmblanco.jpg,http://www.mueblessur.cl/7275-2078-thickbox/escritoriomemphisxxcmblanco.jpg,,1,IVA,4,"Estructura metálica pintada en color<br> blanco, cubierta vidrio templado.<br><br>Medidas: 89 x prof. 50 x alt. 75 cms.","Estructura metálica pintada en color<br> blanco, cubierta vidrio templado.<br><br>Medidas: 89 x prof. 50 x alt. 75 cms."
77880,77880,64900,218076,218076,5,5,"ESCRITORIO "DUBO 110X55x75" ROJO",5,100,"Escritorios",http://www.mueblessur.cl/7274-2077-thickbox/escritorioduboxcmcruedasrojo.jpg,http://www.mueblessur.cl/7274-2077-thickbox/escritorioduboxcmcruedasrojo.jpg,http://www.mueblessur.cl/7274-2077-thickbox/escritorioduboxcmcruedasrojo.jpg,,1,IVA,4,"Cubierta y estructura metálica,<br> con ruedas, color rojo.<br><br>Medidas: 110 x prof. 55 x alt. 75 cms.<br><br>Disponible solo en tiendas.","Cubierta y estructura metálica,<br> con ruedas, color rojo.<br><br>Medidas: 110 x prof. 55 x alt. 75 cms.<br><br>Disponible solo en tiendas."
137885,137885,119900,218409,218409,5,5,"ESCRITORIO "CRISTAL" TRANSPARENTE",5,100,"Escritorios",http://www.mueblessur.cl/8844-1857-thickbox/mesacristalxxcmcvidriotransparente.jpg,http://www.mueblessur.cl/8844-1857-thickbox/mesacristalxxcmcvidriotransparente.jpg,http://www.mueblessur.cl/8844-1857-thickbox/mesacristalxxcmcvidriotransparente.jpg,,1,IVA,4,"Estructura de metal pintado negro mate,<br> cubierta de vidrio 6 mm.<br><br>Medidas: 153 x prof. 60 x alt. 73 cms.","Estructura de metal pintado negro mate,<br> cubierta de vidrio 6 mm.<br><br>Medidas: 153 x prof. 60 x alt. 73 cms."
137885,137885,119900,218606,218606,5,5,"ESCRITORIO "ALVISE" BLANCO",5,100,"Escritorios",http://www.mueblessur.cl/9007-2104-thickbox/escritorioalvisexxcmlacadoblanco.jpg,http://www.mueblessur.cl/9007-2104-thickbox/escritorioalvisexxcmlacadoblanco.jpg,http://www.mueblessur.cl/9007-2104-thickbox/escritorioalvisexxcmlacadoblanco.jpg,,1,IVA,4,"Estructura de MDF lacado blanco, <br>patas de acero pintadas blanca.<br><br>Medidas: 120 x prof. 60 x alt. 91 cms.","Estructura de MDF lacado blanco, <br>patas de acero pintadas blanca.<br><br>Medidas: 120 x prof. 60 x alt. 91 cms."
201135,201135,174900,218829,218829,5,5,"ESCRITORIO CAJON "NET" NATURAL",5,100,"Escritorios",http://www.mueblessur.cl/9154-2103-thickbox/escritoriocajonnetnatural.jpg,http://www.mueblessur.cl/9154-2103-thickbox/escritoriocajonnetnatural.jpg,http://www.mueblessur.cl/9154-2103-thickbox/escritoriocajonnetnatural.jpg,,1,IVA,4,"Estructura madera natural.<br><br>Medidas: frente 100 x prof. 40 x alt. 75 cms.","Estructura madera natural.<br><br>Medidas: frente 100 x prof. 40 x alt. 75 cms."
57375,57375,45900,219069,219069,5,5,"ESCRITORIO "MEMPHIS" NEGRO",5,100,"Escritorios",http://www.mueblessur.cl/9311-2226-thickbox/escritoriomemphisxxcmnegro.jpg,http://www.mueblessur.cl/9311-2226-thickbox/escritoriomemphisxxcmnegro.jpg,http://www.mueblessur.cl/9311-2226-thickbox/escritoriomemphisxxcmnegro.jpg,,1,IVA,4,"Estructura metálica pintada en color<br>negro, cubierta vidrio templado. <br><br>Medidas: 89 x prof. 50 x alt. 75 cms.","Estructura metálica pintada en color<br>negro, cubierta vidrio templado. <br><br>Medidas: 89 x prof. 50 x alt. 75 cms."
436885,436885,379900,219141,219141,5,5,"ESCRITORIO "TERRY" BLANCO",5,100,"Escritorios",http://www.mueblessur.cl/9397-2262-thickbox/escritorioterrycajlacadoblanco.jpg,http://www.mueblessur.cl/9397-2262-thickbox/escritorioterrycajlacadoblanco.jpg,http://www.mueblessur.cl/9397-2262-thickbox/escritorioterrycajlacadoblanco.jpg,,1,IVA,4,"Estructura de MDF lacado blanco, patas cromadas.<br><br>Medidas: 140 x prof. 70 x alt. 75 cms.","Estructura de MDF lacado blanco, patas cromadas.<br><br>Medidas: 140 x prof. 70 x alt. 75 cms."
149385,149385,129900,219085,219085,5,5,"ESCRITORIO "BALBILLA"",5,100,"Escritorios",http://www.mueblessur.cl/9334-2270-thickbox/escritoriobalbillaxcmcubmaderabasemetal.jpg,http://www.mueblessur.cl/9334-2270-thickbox/escritoriobalbillaxcmcubmaderabasemetal.jpg,http://www.mueblessur.cl/9334-2270-thickbox/escritoriobalbillaxcmcubmaderabasemetal.jpg,,1,IVA,4,"Cubierta madera, patas metálicas.<br><br>Medidas: 119 x prof. 83 x alt. 75 cms.","Cubierta madera, patas metálicas.<br><br>Medidas: 119 x prof. 83 x alt. 75 cms."
149385,149385,129900,116234,116234,5,5,"SILLON OFICINA "SOFT HEAD"",5,100,"Sillones Ejecutivos, Gerenciales",http://www.mueblessur.cl/780-2035-thickbox/sillonoficinasoftheadcruedasbrazos.jpg,http://www.mueblessur.cl/780-2035-thickbox/sillonoficinasoftheadcruedasbrazos.jpg,http://www.mueblessur.cl/780-2035-thickbox/sillonoficinasoftheadcruedasbrazos.jpg,,1,IVA,4,"Estructura de polímeros de alta densidad y metal, acolchado y cubierto con malla de polyester, con apoyacabeza.<br><br>Altura máxima      122 cms.<br>Profundidad            40 cms.<br>Altura máx. asiento 45 cms.<br>Altura min. asiento  35 cms.","Estructura de polímeros de alta densidad y metal, acolchado y cubierto con malla de polyester, con apoyacabeza.<br><br>Altura máxima      122 cms.<br>Profundidad            40 cms.<br>Altura máx. asiento 45 cms.<br>Altura min. asiento  35 cms."
121785,121785,105900,111502,111502,5,5,"SILLON OFICINA "PU"",5,100,"Sillones Ejecutivos, Gerenciales",http://www.mueblessur.cl/5296-2048-thickbox/sillaoficinaputapizcuerotela.jpg,http://www.mueblessur.cl/5296-2048-thickbox/sillaoficinaputapizcuerotela.jpg,http://www.mueblessur.cl/5296-2048-thickbox/sillaoficinaputapizcuerotela.jpg,,1,IVA,4,"Silla tapizada en malla de polyester y cuero reconstituido en la cabecera, con ruedas. Altura regulable.<br><br>Altura máxima      121 cms.<br>Profundidad            51 cms.<br>Altura máx. asiento 45 cms.<br>Altura min. asiento  36 cms.","Silla tapizada en malla de polyester y cuero reconstituido en la cabecera, con ruedas. Altura regulable.<br><br>Altura máxima      121 cms.<br>Profundidad            51 cms.<br>Altura máx. asiento 45 cms.<br>Altura min. asiento  36 cms."
